seats,time_start,time_end,assigned_to,email,taken,month,day,year
1,0,30,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,30,100,picachuu,picachuu@email.com,TRUE,3,9,2024
1,100,130,admin,admin@email.com,TRUE,3,9,2024
1,130,200,picachuu,picachuu@email.com,TRUE,3,9,2024
1,200,230,admin,admin@email.com,TRUE,3,9,2024
1,230,300,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,300,330,picachuu,picachuu@email.com,TRUE,3,9,2024
1,330,400,admin,admin@email.com,TRUE,3,9,2024
1,400,430,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,430,500,picachuu,picachuu@email.com,TRUE,3,9,2024
1,500,530,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,530,600,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,600,630,picachuu,picachuu@email.com,TRUE,3,9,2024
1,630,700,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,700,730,picachuu,picachuu@email.com,TRUE,3,9,2024
1,730,800,admin,admin@email.com,TRUE,3,9,2024
1,800,830,picachuu,picachuu@email.com,TRUE,3,9,2024
1,830,900,admin,admin@email.com,TRUE,3,9,2024
1,900,930,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,930,1000,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1000,1030,admin,admin@email.com,TRUE,3,9,2024
1,1030,1100,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1100,1130,admin,admin@email.com,TRUE,3,9,2024
1,1130,1200,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,1200,1230,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1230,1300,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,1300,1330,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1330,1400,admin,admin@email.com,TRUE,3,9,2024
1,1400,1430,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1430,1500,admin,admin@email.com,TRUE,3,9,2024
1,1500,1530,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,1530,1600,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1600,1630,admin,admin@email.com,TRUE,3,9,2024
1,1630,1700,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1700,1730,admin,admin@email.com,TRUE,3,9,2024
1,1730,1800,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,1800,1830,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1830,1900,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,1900,1930,picachuu,picachuu@email.com,TRUE,3,9,2024
1,1930,2000,admin,admin@email.com,TRUE,3,9,2024
1,2000,2030,picachuu,picachuu@email.com,TRUE,3,9,2024
1,2030,2100,admin,admin@email.com,TRUE,3,9,2024
1,2100,2130,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,2130,2200,admin,admin@email.com,TRUE,3,9,2024
1,2200,2230,picachuu,picachuu@email.com,TRUE,3,9,2024
1,2230,2300,admin,admin@email.com,TRUE,3,9,2024
1,2300,2330,stanstan50,stanstan50@email.com,TRUE,3,9,2024
1,2330,0,picachuu,picachuu@email.com,TRUE,3,9,2024
2,0,30,null,null,FALSE,3,9,2024
2,30,100,stanstan50,stanstan50@email.com,TRUE,3,9,2024
2,100,130,picachuu,picachuu@email.com,TRUE,3,9,2024
2,130,200,null,null,FALSE,3,9,2024
2,200,230,null,null,FALSE,3,9,2024
2,230,300,null,null,FALSE,3,9,2024
2,300,330,picachuu,picachuu@email.com,TRUE,3,9,2024
2,330,400,admin,admin@email.com,TRUE,3,9,2024
2,400,430,null,null,FALSE,3,9,2024
2,430,500,null,null,FALSE,3,9,2024
2,500,530,null,null,FALSE,3,9,2024
2,530,600,null,null,FALSE,3,9,2024
2,600,630,null,null,FALSE,3,9,2024
2,630,700,null,null,FALSE,3,9,2024
2,700,730,picachuu,picachuu@email.com,TRUE,3,9,2024
2,730,800,stanstan50,stanstan50@email.com,TRUE,3,9,2024
2,800,830,null,null,FALSE,3,9,2024
2,830,900,null,null,FALSE,3,9,2024
2,900,930,null,null,FALSE,3,9,2024
2,930,1000,admin,admin@email.com,TRUE,3,9,2024
2,1000,1030,stanstan50,stanstan50@email.com,TRUE,3,9,2024
2,1030,1100,null,null,FALSE,3,9,2024
2,1100,1130,null,null,FALSE,3,9,2024
2,1130,1200,null,null,FALSE,3,9,2024
2,1200,1230,null,null,FALSE,3,9,2024
2,1230,1300,null,null,FALSE,3,9,2024
2,1300,1330,null,null,FALSE,3,9,2024
2,1330,1400,picachuu,picachuu@email.com,TRUE,3,9,2024
2,1400,1430,admin,admin@email.com,TRUE,3,9,2024
2,1430,1500,null,null,FALSE,3,9,2024
2,1500,1530,null,null,FALSE,3,9,2024
2,1530,1600,null,null,FALSE,3,9,2024
2,1600,1630,stanstan50,stanstan50@email.com,TRUE,3,9,2024
2,1630,1700,admin,admin@email.com,TRUE,3,9,2024
2,1700,1730,null,null,FALSE,3,9,2024
2,1730,1800,null,null,FALSE,3,9,2024
2,1800,1830,null,null,FALSE,3,9,2024
2,1830,1900,null,null,FALSE,3,9,2024
2,1900,1930,null,null,FALSE,3,9,2024
2,1930,2000,null,null,FALSE,3,9,2024
2,2000,2030,stanstan50,stanstan50@email.com,TRUE,3,9,2024
2,2030,2100,picachuu,picachuu@email.com,TRUE,3,9,2024
2,2100,2130,null,null,FALSE,3,9,2024
2,2130,2200,null,null,FALSE,3,9,2024
2,2200,2230,null,null,FALSE,3,9,2024
2,2230,2300,stanstan50,stanstan50@email.com,TRUE,3,9,2024
2,2300,2330,picachuu,picachuu@email.com,TRUE,3,9,2024
2,2330,0,null,null,FALSE,3,9,2024
3,0,30,null,null,FALSE,3,9,2024
3,30,100,stanstan50,stanstan50@email.com,TRUE,3,9,2024
3,100,130,picachuu,picachuu@email.com,TRUE,3,9,2024
3,130,200,null,null,FALSE,3,9,2024
3,200,230,null,null,FALSE,3,9,2024
3,230,300,null,null,FALSE,3,9,2024
3,300,330,picachuu,picachuu@email.com,TRUE,3,9,2024
3,330,400,admin,admin@email.com,TRUE,3,9,2024
3,400,430,null,null,FALSE,3,9,2024
3,430,500,null,null,FALSE,3,9,2024
3,500,530,null,null,FALSE,3,9,2024
3,530,600,null,null,FALSE,3,9,2024
3,600,630,null,null,FALSE,3,9,2024
3,630,700,null,null,FALSE,3,9,2024
3,700,730,picachuu,picachuu@email.com,TRUE,3,9,2024
3,730,800,stanstan50,stanstan50@email.com,TRUE,3,9,2024
3,800,830,null,null,FALSE,3,9,2024
3,830,900,null,null,FALSE,3,9,2024
3,900,930,null,null,FALSE,3,9,2024
3,930,1000,admin,admin@email.com,TRUE,3,9,2024
3,1000,1030,stanstan50,stanstan50@email.com,TRUE,3,9,2024
3,1030,1100,null,null,FALSE,3,9,2024
3,1100,1130,null,null,FALSE,3,9,2024
3,1130,1200,null,null,FALSE,3,9,2024
3,1200,1230,null,null,FALSE,3,9,2024
3,1230,1300,null,null,FALSE,3,9,2024
3,1300,1330,null,null,FALSE,3,9,2024
3,1330,1400,picachuu,picachuu@email.com,TRUE,3,9,2024
3,1400,1430,admin,admin@email.com,TRUE,3,9,2024
3,1430,1500,null,null,FALSE,3,9,2024
3,1500,1530,null,null,FALSE,3,9,2024
3,1530,1600,null,null,FALSE,3,9,2024
3,1600,1630,stanstan50,stanstan50@email.com,TRUE,3,9,2024
3,1630,1700,admin,admin@email.com,TRUE,3,9,2024
3,1700,1730,null,null,FALSE,3,9,2024
3,1730,1800,null,null,FALSE,3,9,2024
3,1800,1830,null,null,FALSE,3,9,2024
3,1830,1900,null,null,FALSE,3,9,2024
3,1900,1930,null,null,FALSE,3,9,2024
3,1930,2000,null,null,FALSE,3,9,2024
3,2000,2030,stanstan50,stanstan50@email.com,TRUE,3,9,2024
3,2030,2100,picachuu,picachuu@email.com,TRUE,3,9,2024
3,2100,2130,null,null,FALSE,3,9,2024
3,2130,2200,null,null,FALSE,3,9,2024
3,2200,2230,null,null,FALSE,3,9,2024
3,2230,2300,stanstan50,stanstan50@email.com,TRUE,3,9,2024
3,2300,2330,picachuu,picachuu@email.com,TRUE,3,9,2024
3,2330,0,null,null,FALSE,3,9,2024
4,0,30,null,null,FALSE,3,9,2024
4,30,100,stanstan50,stanstan50@email.com,TRUE,3,9,2024
4,100,130,picachuu,picachuu@email.com,TRUE,3,9,2024
4,130,200,null,null,FALSE,3,9,2024
4,200,230,null,null,FALSE,3,9,2024
4,230,300,null,null,FALSE,3,9,2024
4,300,330,picachuu,picachuu@email.com,TRUE,3,9,2024
4,330,400,admin,admin@email.com,TRUE,3,9,2024
4,400,430,null,null,FALSE,3,9,2024
4,430,500,null,null,FALSE,3,9,2024
4,500,530,null,null,FALSE,3,9,2024
4,530,600,null,null,FALSE,3,9,2024
